Security Name,Symbol Name,Trade Date,Quantity
MRPL,MRPL,16-Mar-2026,25
RELIANCE INDUSTRIES LTD,RELIANCE,16-Mar-2026,14
JSW STEEL LIMITED,JSWSTEEL,16-Mar-2026,6
POWER FIN CORP LTD.,PFC,16-Mar-2026,10
IRB INFRA DEV LTD.,IRB,16-Mar-2026,100
JSW ENERGY LIMITED,JSWENERGY,16-Mar-2026,65761
BRITANNIA INDUSTRIES LIMITED,BRITANNIA,16-Mar-2026,1
ZYDUS WELLNESS LIMITED,ZYDUSWELL,16-Mar-2026,11000
LEMON TREE HOTELS LTD,LEMONTREE,16-Mar-2026,50
RVNL,RVNL,16-Mar-2026,13725
MAZAGON DOCK SHIPBUIL LTD,MAZDOCK,16-Mar-2026,10
JIO FIN SERVICES LTD,JIOFIN,16-Mar-2026,1114
HYUNDAI MOTOR INDIA LTD,HYUNDAI,16-Mar-2026,100
SWIGGY LIMITED,SWIGGY,16-Mar-2026,2
NATIONAL ALUMINIUM CO LTD,NATIONALUM,16-Mar-2026,500
TATA CONSULTANCY SERV LT,TCS,16-Mar-2026,3
ULTRATECH CEMENT LIMITED,ULTRACEMCO,16-Mar-2026,4
ADANI ENTERPRISES LIMITED,ADANIENT,16-Mar-2026,1584
BLUE STAR LIMITED,BLUESTARCO,16-Mar-2026,299
GANESHA ECOSPHERE LIMITED,GANECOS,16-Mar-2026,6432
HEALTHCARE GLOB. ENT. LTD,HCG,16-Mar-2026,8981
TATA MOTORS PASS VEH LTD,TMPV,16-Mar-2026,165
APOLLO MICRO SYSTEMS LTD,APOLLO,16-Mar-2026,100
HCL TECHNOLOGIES LTD,HCLTECH,16-Mar-2026,700
OIL AND NATURAL GAS CORP.,ONGC,16-Mar-2026,20
PUNJAB NATIONAL BANK,PNB,16-Mar-2026,5500
STATE BANK OF INDIA,SBIN,16-Mar-2026,14
IDEA CELLULAR LIMITED,IDEA,16-Mar-2026,1500
ASTRAL POLY TECHNIK LIMITED,ASTRAL,16-Mar-2026,2975
PIRAMAL PHARMA LIMITED,PPLPHARMA,16-Mar-2026,510
IDBI Bank Limited,IDBI,16-Mar-2026,950
MAHINDRA & MAHINDRA LTD,M&M,16-Mar-2026,6
BOSCH LIMITED,BOSCHLTD,16-Mar-2026,6
BAJAJ FINANCE LIMITED,BAJFINANCE,16-Mar-2026,70
UTKARSH SMALL FIN BANK L,UTKARSHBNK,16-Mar-2026,1500
ABB LTD.,ABB,16-Mar-2026,3375
CHENNAI PETROLEUM CORP LT,CHENNPETRO,16-Mar-2026,1
THE INDIAN HOTELS CO. LTD,INDHOTEL,16-Mar-2026,28
CITY UNION BANK LTD      ,CUB,16-Mar-2026,400
ASTRAMICRO,ASTRAMICRO,16-Mar-2026,200
IRFC,IRFC,16-Mar-2026,650
PREMIER ENERGIES LIMITED,PREMIERENE,16-Mar-2026,5
ASHOK LEYLAND LTD,ASHOKLEY,16-Mar-2026,1
HINDALCO  INDUSTRIES  LTD,HINDALCO,16-Mar-2026,140
INFO EDGE (I) LTD,NAUKRI,16-Mar-2026,750
BAJAJ AUTO LIMITED,BAJAJ-AUTO,16-Mar-2026,7875
ADITYA BIRLA LIFES BRAN L,ABLBL,16-Mar-2026,5000
BHARAT FORGE LTD,BHARATFORG,16-Mar-2026,1
PB FINTECH LIMITED,POLICYBZR,16-Mar-2026,512
ZYDUS LIFESCIENCES,ZYDUSLIFE,16-Mar-2026,900
PINE LABS LIMITED,PINELABS,16-Mar-2026,300
HDFC BANK LTD,HDFCBANK,16-Mar-2026,21
MARUTI SUZUKI INDIA LTD.,MARUTI,16-Mar-2026,5
MULTI COMMODITY EXCHANGE OF INDIA LIMITED,MCX,16-Mar-2026,28
KPIT TECHNOLOGIES LTD,KPITTECH,16-Mar-2026,100
NLC INDIA LIMITED,NLCINDIA,16-Mar-2026,1000
HINDUSTAN UNILEVER LTD.,HINDUNILVR,16-Mar-2026,15010
TATA TECHNOLOGIES LIMITED,TATATECH,16-Mar-2026,1000
ETERNAL LIMITED,ETERNAL,16-Mar-2026,96
